MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED
"i2c1507076a","Total",3,"Grow awareness","OTS - unique","Offer",2,1392618.000000
"i2c1509048a","Total",1,"Grow awareness","OTS         ","Offer",2,484261.000000
"i2cLYNX555","Total",3,"Grow awareness","OTS - unique","Offer",2,3313445.000000
"i2c1509014a","Total",3,"Grow awareness","OTS - unique","Offer",2,2302285.000000
"i2c1508186a2","Total",1,"Grow awareness","OTS - unique","Offer",2,3628842.000000
"i2c1507156a","Total",2,"Grow awareness","OTS - unique","Offer",2,6594901.000000
"i2c1510116a","Total",2,"Grow awareness","OTS - unique","Offer",2,314125.000000
"i2cLYNX666","Total",3,"Grow awareness","OTS         ","Offer",2,22662184.000000
"i2c1507203a","Total",3,"Grow awareness","OTS - unique","Offer",2,1820717.000000
"i2c1509067a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,179555.000000
"i2c1510116a","Instore Sampling2",2,"Grow awareness","OTS         ","Offer",2,217420.000000
"i2c1510116a","Instore Sampling1",2,"Grow awareness","OTS - unique","Offer",2,106178.000000
"i2c1510116a","Instore Sampling3",2,"Grow awareness","OTS - unique","Offer",2,81092.000000
"i2c1511103a","Six Sheets1",3,"Grow awareness","OTS - unique","Offer",2,1308820.000000
"i2c1509014a","Instore Sampling2",3,"Grow awareness","OTS         ","Offer",2,8721.000000
"i2c1509014a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,343933.000000
"i2c1601020a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,223931.000000
"i2c1507161a","Six Sheets1",1,"Grow awareness","OTS - unique","Offer",2,2144191.000000
"i2c1510047a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,1627826.000000
"i2c1535KE0","Milk Media1",5,"Grow awareness","OTS - unique","Offer",2,173596.000000
"i2c1509030a","JS Magazine1",1,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2c1509048a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,272926.000000
"i2c1507076a","Take Home Barker1",3,"Grow awareness","OTS - unique","Offer",2,977590.000000
"i2c1507076a","Instore Sampling3",3,"Grow awareness","OTS         ","Offer",2,169726.000000
"i2c1508204a","Total",2,"Grow awareness","OTS         ","Offer",2,6677093.000000
"i2c1511005a","Entrance Gates1",1,"Grow awareness","OTS - unique","Offer",2,1898918.000000
"i2c1511005a","Instore Sampling2",1,"Grow awareness","OTS         ","Offer",2,27311.000000
"i2c1507141a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,3239157.000000
"i2c1509106a2","Six Sheets1",3,"Grow awareness","OTS - unique","Offer",2,1206498.000000
"i2c1509014a","JS Magazine1",3,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2c1508186a","Entrance Gates1",1,"Grow awareness","OTS - unique","Offer",2,1678073.000000
"i2c1508204a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,1894911.000000
"i2c1510020a2","Trolleys1",1,"Grow awareness","OTS - unique","Offer",2,1755090.000000
"i2c1509014a","Entrance Gates1",3,"Grow awareness","OTS         ","Offer",2,17838814.000000
"i2c1509106a2","Entrance Gates1",3,"Grow awareness","OTS - unique","Offer",2,5552047.000000
"i2c1508186a2","Entrance Gates1",1,"Grow awareness","OTS         ","Offer",2,17055668.000000
"i2c1511135a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,1251053.000000
"i2cLYNX666","TV Wall1",3,"Grow awareness","OTS - unique","Offer",2,3535619.000000
"i2c1510020a","Trolleys2",1,"Grow awareness","OTS         ","Offer",2,7567122.000000
"i2c1510020a","Entrance Gates1",1,"Grow awareness","OTS - unique","Offer",2,1359940.000000
"i2c1510108a","Instore Sampling4",1,"Grow awareness","OTS         ","Offer",2,18757.000000
"i2c1510046a","Instore Sampling4",1,"Grow awareness","OTS         ","Offer",2,25816.000000
"i2c1510046a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,106317.000000
"i2c1510046a","Instore Sampling2",1,"Grow awareness","OTS         ","Offer",2,292744.000000
"i2c1510108a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,42560.000000
"i2c1510046a","Instore Sampling5",1,"Grow awareness","OTS - unique","Offer",2,17605.000000
"i2c1508107a","JS Magazine1",2,"Grow awareness","OTS - unique","Offer",2,161532.000000
"i2cLYNX888","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,30309163.000000
"i2c1507161a","JS Magazine1",1,"Grow awareness","OTS - unique","Offer",2,260729.000000
"i2c1510020a","Trolleys2",1,"Grow awareness","OTS - unique","Offer",2,1565531.000000
