MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2cLENORV4","Total",817945
"i2c1509107a4","Six Sheets1, Six Sheets2",965194
"i2c1509018a","Other",31491
"i2c1509030a","JS Magazine1",171886
"i2cLENUNV2","Six Sheets2",227684
"i2c1511003a","JS Magazine1, Trolleys1",31295
"i2c1509014a","Entrance Gates1",1425299
"i2c1535KE0","JS Magazine1",253173
"i2c1508127a","JS Magazine1, JS Magazine2",89457
"i2c1505074aM","Total",209641
"i2c1509107a6","Total",1101469
"i2cLYNX555","Total",2713060
"i2c1509125a","Total",4678266
"i2c1508040a","Total",3017379
"i2c1511103a","Total",1139722
"i2cARIALV2","Six Sheets2",227684
"i2cORALBV2","Six Sheets1, Six Sheets2",315440
"i2c1511103a","Six Sheets1",1139722
"i2c1512024a","Entrance Gates1",2114124
"i2c1504028aM","JS Magazine",129019
"i2c1507161a","Car Park Posters1",1243188
"i2c1507187a","TV Wall1",2904972
"i2c1508254a","Total",60612
"i2c1507176a","Instore Sampling1",244368
"i2c1508107a","JS Magazine1, Six Sheets1",47524
"i2c1510061a","Six Sheets1",1082040
"i2c1509002a","Instore Sampling",460338
"i2c1508250a","Six Sheets1",1204884
"i2c1508186a","Trolleys1",1234785
"i2c15FAIFE","Six Sheets1",1062486
"i2c1512047a","Six Sheets1",661436
"i2cLENUNV4","Total",817945
"i2cFAIDADWV4","Total",2443916
"i2c1504065aM","Total",129019
"i2c1507095a","Total",4198081
"i2c1507030a","JS Magazine1, Six Sheets1",67615
"i2c1507203a","Instore Sampling1, Trolleys1",42592
"i2cNEW-TOOL","JS Magazine1, TV Wall1",75657
"TEST_JD","Milk Media1, Six Sheets2",71449
"i2c1507074aM","JS Magazine",115425
"i2c1509116a","Instore Sampling1",191682
"i2c1510003a2","Entrance Gates1, Six Sheets1, Six Sheets2",279304
"i2c1508098a","Instore Sampling1",443421
"i2c1509103a","Instore Sampling5",43646
"i2c1507187a","Six Sheets1",466779
"i2c1509016a2","JS Magazine1",157627
"i2c1509107a4","Total",2425333
"i2c15FAINB","Total",2759706
"i2c1509107a5","Six Sheets1, Six Sheets2",248330
"i2c1509107aA","Six Sheets3",116401
"i2c1509107a3","Six Sheets2",1446996
"i2c1506032M2","JS Magazine",139439
"i2c1509014a","Other",18420
"i2c1509125a2","JS Magazine1, TV Wall1",102765
"i2c1509125a","JS Magazine1",72727
"i2cFAIFEV4","Total",685771
"i2c1509131a","Total",237449
"i2cOLAYV4","Six Sheets1",590158
"i2c1510020a2","Trolleys1",682466
"i2c1507161a","JS Magazine1, Car Park Posters1",41800
"i2c1507161a","Six Sheets1, Car Park Posters1",1072350
"i2c1509014a","Entrance Gates1, JS Magazine1",41292
"i2c1508146a","Other",515694
"i2c1510020a","Trolleys1",682507
"i2c1509106a","Total",4772869
"i2c1510033a","Total",6801129
"i2c1509030a","JS Magazine1, Six Sheets1",48145
"i2cBRAUNV2","Six Sheets1",2116660
"i2c1508042a","TV Wall1",3417054
"i2cFABREV2","Six Sheets2",366524
"i2c1506058aM","JS Magazine",115425
"i2c1507161a","JS Magazine1, Six Sheets1",29248
"i2c15FAINB","TV Wall1",1366160
"i2c1508169a2","Instore Sampling1",444077
"i2c1511015a","Entrance Gates1, Trolleys1, TV Wall1",15039
"i2c1508034a","Six Sheets2",551008
"i2c1509116a","Total",497720
"i2c1508203a","Instore Sampling1",616447
"i2cLYNX444","TV Wall1",2522950
"i2c1509111a","TV Wall1",3735306
"i2c1510013a","Entrance Gates1",1536318
"i2c1509029a","Instore Sampling1",285874
"i2c1511015a","Entrance Gates1, TV Wall1",416103
"TEST_JD2","Six Sheets2",1121063
