MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"TEST_JD",2,2015-08-18
"TEST_JD",3,2015-08-19
"TEST_JD",4,2015-09-30
"TEST_JD",5,2015-10-01
"TEST_JD",6,2015-11-11
"i2c1510006a",1,2015-09-14
"i2c1510006a",2,2015-12-06
"i2c1510006a",3,2015-12-07
"i2c1510006a",4,2015-12-07
"i2cHSV4",1,2015-09-21
"i2cHSV4",2,2015-12-13
"i2cHSV4",3,2015-12-14
"i2cHSV4",4,2016-01-03
"i2cHSV4",5,2016-01-04
"i2cHSV4",6,2016-02-14
"i2c1507212a",1,2015-09-19
"i2c1507212a",2,2015-12-11
"i2c1507212a",3,2015-12-12
"i2c1507212a",4,2015-12-17
"i2c1507212a",5,2015-12-18
"i2c1507212a",6,2016-01-28
"i2c1509107aA",1,2015-08-10
"i2c1509107aA",2,2015-11-01
"i2c1509107aA",3,2015-11-02
"i2c1509107aA",4,2015-11-15
"i2c1509004a2",1,2015-08-04
"i2c1509004a2",2,2015-10-26
"i2c1509004a2",3,2015-10-27
"i2c1509004a2",4,2015-12-01
"i2c1509004a2",5,2015-12-02
"i2c1509004a2",6,2016-01-12
"i2c1509067a",1,2015-08-30
"i2c1509067a",2,2015-11-21
"i2c1509067a",3,2015-11-22
"i2c1509067a",4,2015-11-25
"i2c1509067a",5,2015-11-26
"i2c1509067a",6,2016-01-06
"i2c1509107a2",1,2015-08-10
"i2c1509107a2",2,2015-11-01
"i2c1509107a2",3,2015-11-02
"i2c1509107a2",4,2015-11-15
"i2c1508034a",1,2015-06-01
"i2c1508034a",2,2015-08-23
"i2c1508034a",3,2015-08-24
"i2c1508034a",4,2015-10-18
"i2c1508034a",5,2015-10-19
"i2c1508034a",6,2015-11-29
"i2c1509107aF",1,2015-08-10
"i2c1509107aF",2,2015-11-01
"i2c1509107aF",3,2015-11-02
"i2c1509107aF",4,2015-11-15
"i2c1509103a",1,2015-07-27
"i2c1509103a",2,2015-10-18
"i2c1509103a",3,2015-10-19
"i2c1509103a",4,2015-11-29
"i2c1509103a",5,2015-11-30
"i2c1509103a",6,2016-01-10
"i2c1510003a2",1,2015-08-24
"i2c1510003a2",2,2015-11-15
"i2c1510003a2",3,2015-11-16
"i2c1510003a2",4,2015-12-08
"i2c1510003a1",1,2015-08-24
"i2c1510003a1",2,2015-11-15
"i2c1510003a1",3,2015-11-16
"i2c1510003a1",4,2015-12-08
"i2c1507203a",1,2015-07-15
"i2c1507203a",2,2015-10-06
"i2c1507203a",3,2015-10-07
"i2c1507203a",4,2015-10-27
"i2c1507203a",5,2015-10-28
"i2c1507203a",6,2015-12-08
"i2c1509004a",1,2015-08-04
"i2c1509004a",2,2015-10-26
"i2c1509004a",3,2015-10-27
"i2c1509004a",4,2015-12-01
"i2c1509004a",5,2015-12-02
"i2c1509004a",6,2016-01-12
"i2c1510061a",1,2015-09-07
"i2c1510061a",2,2015-11-29
"i2c1510061a",3,2015-11-30
"i2c1510061a",4,2015-12-13
"i2c1510061a",5,2015-12-14
"i2c1510061a",6,2016-01-24
"i2c1509131a",1,2015-09-26
"i2c1509131a",2,2015-12-18
"i2c1509131a",3,2015-12-19
"i2c1509131a",4,2015-12-20
"i2c1509131a",5,2015-12-21
"i2c1509131a",6,2016-01-31
"i2c1510013a",1,2015-07-15
"i2c1510013a",2,2015-10-06
"i2c1510013a",3,2015-10-07
"i2c1510013a",4,2015-10-27
"i2c1510013a",5,2015-10-28
"i2c1510013a",6,2015-12-08
"i2cBRAUNV4",1,2015-08-24
"i2cBRAUNV4",2,2015-11-15
"i2cBRAUNV4",3,2015-11-16
"i2cBRAUNV4",4,2015-11-29
"i2cBRAUNV4",5,2015-11-30
"i2cBRAUNV4",6,2016-01-10
"i2c1509144a",1,2015-09-05
"i2c1509144a",2,2015-11-27
"i2c1509144a",3,2015-11-28
"i2c1509144a",4,2015-12-01
"i2c1509144a",5,2015-12-02
"i2c1509144a",6,2016-01-12
"i2c1509014a",1,2015-08-04
"i2c1509014a",2,2015-10-26
"i2c1509014a",3,2015-10-27
"i2c1509014a",4,2015-12-08
"i2c1509014a",5,2015-12-09
"i2c1509014a",6,2016-01-19
"i2c1508203a",1,2015-07-04
"i2c1508203a",2,2015-09-25
"i2c1508203a",3,2015-09-26
"i2c1508203a",4,2015-09-27
"i2c1508203a",5,2015-09-28
"i2c1508203a",6,2015-11-08
"i2c1509107a1",1,2015-08-10
"i2c1508186a2",1,2015-08-05
"i2c1509107a1",2,2015-11-01
"i2c1508186a2",2,2015-10-27
"i2c1509107a1",3,2015-11-02
"i2c1508186a2",3,2015-10-28
"i2c1509107a1",4,2015-11-15
"i2c1508186a2",4,2015-11-17
"i2c1508186a2",5,2015-11-18
"i2c1508186a2",6,2015-12-29
"i2c1509111a",1,2015-08-05
"i2c1509111a",2,2015-10-27
"i2c1509111a",3,2015-10-28
"i2c1509111a",4,2015-11-29
"i2c1509111a",5,2015-11-30
"i2c1509111a",6,2016-01-10
"i2c1509134a",1,2015-08-04
"i2c1509134a",2,2015-10-26
"i2c1509134a",3,2015-10-27
"i2c1509134a",4,2015-12-01
"i2c1509134a",5,2015-12-02
"i2c1509134a",6,2016-01-12
"i2cGILLEV2",1,2015-09-21
"i2cGILLEV2",2,2015-12-13
"i2cGILLEV2",3,2015-12-14
"i2cGILLEV2",4,2016-01-03
"i2cFAIFEV2",1,2015-08-10
"i2cFAIFEV2",2,2015-11-01
"i2cFAIFEV2",3,2015-11-02
"i2cFAIFEV2",4,2015-11-15
"i2c1508254a",1,2015-08-02
"i2c1508254a",2,2015-10-24
"i2c1508254a",3,2015-10-25
"i2c1508254a",4,2015-10-25
"i2c1508254a",5,2015-10-26
"i2c1508254a",6,2015-12-06
"i2c1510051a",1,2015-09-21
"i2c1510051a",2,2015-12-13
"i2c1510051a",3,2015-12-14
"i2c1510051a",4,2015-12-19
"i2c1510051a",5,2015-12-20
"i2c1510051a",6,2016-01-30
